Traffic Violation,Traffic Violation Count,Week
commercial_vehicle,0,5
commercial_vehicle,0,6
commercial_vehicle,0,7
commercial_vehicle,0,8
commercial_vehicle,0,9
commercial_vehicle,0,10
commercial_vehicle,0,11
commercial_vehicle,0,12
commercial_vehicle,0,13
commercial_vehicle,0,14
commercial_vehicle,0,15
commercial_vehicle,0,16
commercial_vehicle,0,17
commercial_vehicle,0,18
commercial_vehicle,0,19
commercial_vehicle,0,20
commercial_vehicle,0,21
commercial_vehicle,0,22
commercial_vehicle,0,23
commercial_vehicle,0,24
commercial_vehicle,0,25
commercial_vehicle,0,26
commercial_vehicle,0,27
commercial_vehicle,0,28
commercial_vehicle,0,29
commercial_vehicle,0,30
commercial_vehicle,0,31
commercial_vehicle,0,32
commercial_vehicle,0,33
commercial_vehicle,0,34
commercial_vehicle,0,35
commercial_vehicle,0,36
commercial_vehicle,0,37
commercial_vehicle,0,38
commercial_vehicle,0,39
commercial_vehicle,0,40
commercial_vehicle,0,41
commercial_vehicle,0,42
commercial_vehicle,0,43
commercial_vehicle,0,44
commercial_vehicle,0,45
commercial_vehicle,0,46
commercial_vehicle,0,47
commercial_vehicle,0,48
commercial_vehicle,0,49
commercial_vehicle,0,50
commercial_vehicle,0,51
commercial_vehicle,0,52
alcohol,10,1
alcohol,0,2
alcohol,6,3
alcohol,0,4
alcohol,0,5
alcohol,0,6
alcohol,0,7
alcohol,18,8
alcohol,6,9
alcohol,14,10
alcohol,0,11
alcohol,0,12
alcohol,0,13
alcohol,8,14
alcohol,12,15
alcohol,0,16
alcohol,4,17
alcohol,0,18
alcohol,0,19
alcohol,8,20
alcohol,16,21
alcohol,0,22
alcohol,0,23
alcohol,29,24
alcohol,16,25
alcohol,7,26
alcohol,0,27
alcohol,0,28
alcohol,4,29
alcohol,15,30
alcohol,22,31
alcohol,2,32
alcohol,0,33
alcohol,9,34
alcohol,4,35
alcohol,0,36
alcohol,0,37
alcohol,3,38
alcohol,8,39
alcohol,4,40
alcohol,0,41
alcohol,8,42
alcohol,21,43
alcohol,0,44
alcohol,0,45
alcohol,0,46
alcohol,0,47
alcohol,16,48
alcohol,3,49
alcohol,1,50
